Event_ID,Event_Name,Event_Date,Outcome,Primary_Type,Secondary_Type,Region,Country_1,Country_2,External_Actors,Key_Individuals,Key_Groups_Entities,Date_Justification,Search_Terms
EUR_2022_UKRAINE_CONFLICT,Full-Scale Invasion of Ukraine,2022-02-24,Conflict,Invasion,Interstate War,Europe,Ukraine,Russia,"Belarus,Chinese Hackers,International Criminal Court,NATO,Iran","Putin,Zelenskyy,Biden,Alexander Bortnikov,Nikolai Patrushev,Yury Kovalchuk,Andrii Sybiha,Mark Rutte ","Kremlin,NATO,Russian Army,Ukrainian Army,Donetsk & Luhansk People's Republics,Wagner Group,Redut PMC,Conti ransomware group,Chinese state-linked hacking groups,Council of Europe",,"Ukraine invasion,Russia special military operation,Putin speech"
MEA_2023_GAZA_CONFLICT,Hamas Attack on Israel,2023-10-07,Conflict,Cross-border Attack,Asymmetric War,Middle East,Israel,Palestine,"Iran,IDF,Gaza,Islamic Jihad","Netanyahu,Sinwar,Mohammed Deif ","Hamas,Israel Defense Forces,Al-Qassam Brigades,Lions' Den,PFLP",,"Hamas attack,Iron Swords,Gaza invasion"
AFR_2011_LIBYA_CONFLICT,Libyan Civil War Start,2011-02-15,Conflict,Civil War,Foreign Intervention,Africa,Libya,,"NATO,Turkey,UAE,Egypt,France,Wagner Group","Gaddafi,Mustafa Abdul Jalil,Khalifa Haftar,Fayez al-Sarraj,Abdul Hamid Dbeibeh","National Transitional Council,NTC,UNSC Resolution 1973,Wagner Group,LNA,NTC,GNA,Islamist Militias",,"Libya civil war,Gaddafi speech,Benghazi uprising"
MEA_2015_YEMEN_CONFLICT,Saudi-led Intervention in Yemen,2015-03-26,Conflict,Intervention,Proxy War,Middle East,Yemen,Saudi Arabia,"United Arab Emirates, Egypt, Jordan, Morocco, Sudan, Kuwait, Qatar, Bahrain, Pakistan,United States,United Kingdom,France,Germany,Cannada,Iran","Hadi,King Salman,Mohammed bin Salman,President Abdrabbuh Mansur Hadi,Prince Fahd bin Turki Al Saud ","Houthi,Operation Decisive Storm,Saudi-led coalition,Al-Qaeda in the Arabian Peninsula (AQAP),ISIS,UAE-backed local militias,Al-Houthi militia",,"Saudi intervention Yemen,Houthi conflict"
MEA_2011_SYRIA_CONFLICT,Syrian Civil War Begins,2011-03-15,Conflict,Civil War,Proxy War,Middle East,Syria,Saudi Arabia,"Russia,USA,Iran,Turkey,Saudi Arabia,Qatar","Assad,Obama,Abu Mohammed al-Jolani,Putin,Qassem Soleimani","Free Syrian Army,FSA,Daraa protests,ISIS,Wagner Group,SDF,HTS,Syrian Armed Forces",,"Syria civil war,Assad speech,Daraa"
EUR_2014_DONBAS_CONFLICT,Donbas Conflict Start,2014-04-06,Conflict,Hybrid War,Insurgency,Europe,Ukraine,Russia,"OSCE,France,Germany,USA,EU","Turchynov,Strelkov,Viktor Yanukovych,Petro Poroshenko","Donetsk People's Republic,Luhansk People's Republic,ATO,Russian irregualars and mercenaries,Ukraine Armed Forces",,"Donbas war,Ukraine separatists"
EUR_2014_CRIMEA_CONFLICT,Annexation of Crimea,2014-02-27,Conflict,Annexation,Hybrid War,Europe,Ukraine,Russia,"US,EU,NATO,UN,CIS,OSCE","Aksyonov,Putin,Oleksandr Turchynov,Viktor Yanukovych,Valentina Matviyenko","little green men,referendum,Supreme Council of Crimea,Federal Security Service,Self-Defence Forces of Crimea, Tatars of Crimea,Ukrainian Armed Forces,Russian Armed Forces,Black Sea Fleet",,"Crimea annexation,Russia Crimea"
EAS_2017_KOREA_NOCONFLICT,Korean Peninsula Crisis,2017-04-8,No Conflict,Standoff,Brinkmanship,East Asia,North Korea,USA,"China,Russia,Japan,UN,THAAD","Kim Jong Un,Trump,Moon Jae-in","DPRK,ICBM,fire and fury,Day of the Sun,UN Security Council,US-South Kora Military Alliance,North Korea's strategic missile and ICBM program",Corresponds to major military parade (Day of the Sun) and peak of 'fire and fury' rhetoric.,"North Korea missile,fire and fury,Trump Kim"
MEA_2020_IRAN_NOCONFLICT,Soleimani Aftermath Crisis,2020-01-08,No Conflict,Brinkmanship,Limited Strike,Middle East,Iran,USA,"Iran,US,Iraq,PMF,US Embassy in Baghdad","Soleimani,Trump,Khamenei,Abu Mahdi al-Muhandis,Mike Pompeo,Mark Esper","IRGC,Quds Force,Ain al-Asad base,Iraqi Parliament,US Embassy in Iraq, US Central Command,PMF","Date of Iranian retaliatory missile strikes on US bases, after which de-escalation began.","Soleimani strike,Iran missile attack,World War 3"
EUR_2021_UKRAINE_NOCONFLICT,Ukraine Troop Buildup,2021-04-15,No Conflict,Standoff,Military Drill,Europe,Ukraine,Russia,"NATO,Ukrainian Intelligence Service,US,EU,Belarus,China,OSCE","Biden,Putin,Zelenskyy,Sergey Shoigu,Anotry Blinken,Jens Stoltenberg","Russian drills,troop buildup,Donbas,US Intelligence Community,Belarusian Military,Wagner Group,NATO Enhanced Forward Presence Battle Group","Represents peak media reporting of troop movements before Russia announced a partial pullback later in the month.","Ukraine border crisis,Russia troops buildup"
